x;Sick;color;pen down?;x;Immune;color;pen down?;x;Healthy;color;pen down?;x;Total;color;pen down?;x;Vaccinated;color;pen down?
0;10;15;true;0;0;5;true;0;290;55;true;0;300;0;true;0;0;95;true
1;10;15;true;1;0;5;true;1;290;55;true;1;300;0;true;1;0;95;true
2;13;15;true;2;0;5;true;2;287;55;true;2;300;0;true;2;0;95;true
3;16;15;true;3;0;5;true;3;284;55;true;3;300;0;true;3;0;95;true
4;21;15;true;4;0;5;true;4;279;55;true;4;300;0;true;4;0;95;true
5;23;15;true;5;0;5;true;5;277;55;true;5;300;0;true;5;0;95;true
6;27;15;true;6;0;5;true;6;273;55;true;6;300;0;true;6;0;95;true
7;30;15;true;7;0;5;true;7;270;55;true;7;300;0;true;7;0;95;true
8;35;15;true;8;0;5;true;8;265;55;true;8;300;0;true;8;0;95;true
9;38;15;true;9;0;5;true;9;262;55;true;9;300;0;true;9;0;95;true
10;46;15;true;10;0;5;true;10;254;55;true;10;300;0;true;10;0;95;true
11;54;15;true;11;0;5;true;11;246;55;true;11;300;0;true;11;0;95;true
12;63;15;true;12;0;5;true;12;237;55;true;12;300;0;true;12;0;95;true
13;75;15;true;13;0;5;true;13;225;55;true;13;300;0;true;13;0;95;true
14;83;15;true;14;0;5;true;14;217;55;true;14;300;0;true;14;0;95;true
15;87;15;true;15;10;5;true;15;203;55;true;15;300;0;true;15;0;95;true
16;94;15;true;16;10;5;true;16;195;55;true;16;299;0;true;16;0;95;true
17;98;15;true;17;11;5;true;17;190;55;true;17;299;0;true;17;0;95;true
18;114;15;true;18;14;5;true;18;172;55;true;18;300;0;true;18;0;95;true
19;121;15;true;19;17;5;true;19;161;55;true;19;299;0;true;19;0;95;true
20;130;15;true;20;20;5;true;20;149;55;true;20;299;0;true;20;0;95;true
21;137;15;true;21;22;5;true;21;140;55;true;21;299;0;true;21;0;95;true
22;151;15;true;22;23;5;true;22;124;55;true;22;298;0;true;22;0;95;true
23;157;15;true;23;27;5;true;23;114;55;true;23;298;0;true;23;0;95;true
24;156;15;true;24;33;5;true;24;108;55;true;24;297;0;true;24;0;95;true
25;160;15;true;25;38;5;true;25;99;55;true;25;297;0;true;25;0;95;true
26;158;15;true;26;44;5;true;26;95;55;true;26;297;0;true;26;0;95;true
27;162;15;true;27;54;5;true;27;81;55;true;27;297;0;true;27;0;95;true
28;162;15;true;28;58;5;true;28;78;55;true;28;298;0;true;28;0;95;true
29;151;15;true;29;71;5;true;29;74;55;true;29;296;0;true;29;0;95;true
30;147;15;true;30;81;5;true;30;66;55;true;30;294;0;true;30;0;95;true
31;149;15;true;31;83;5;true;31;62;55;true;31;294;0;true;31;0;95;true
