"export-plot data (NetLogo 6.2.1)"
"Virus.nlogo"
"12/08/2021 19:44:58:974 +0100"

"MODEL SETTINGS"
"duration","vaccination-speed","turtle-shape","number-vaccinated","infectiousness","number-people","chance-recover","vaccine-immunity-time","immunity-duration"
"14","5","""circle 2""","0","85","300","75","50","40"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","524","0","319","true","""Sick""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""Sick""","true","0","1","15","424"
"""Immune""","true","0","1","5","424"
"""Healthy""","true","0","1","55","424"
"""Total""","true","0","1","0","424"
"""Vaccinated""","true","0","1","95","424"

"""Sick""",,,,"""Immune""",,,,"""Healthy""",,,,"""Total""",,,,"""Vaccinated"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","10","15","true","0","0","5","true","0","290","55","true","0","300","0","true","0","0","95","true"
"1","13","15","true","1","0","5","true","1","287","55","true","1","300","0","true","1","5","95","true"
"2","14","15","true","2","0","5","true","2","286","55","true","2","300","0","true","2","10","95","true"
"3","17","15","true","3","0","5","true","3","283","55","true","3","300","0","true","3","15","95","true"
"4","20","15","true","4","0","5","true","4","280","55","true","4","300","0","true","4","20","95","true"
"5","24","15","true","5","0","5","true","5","276","55","true","5","300","0","true","5","25","95","true"
"6","26","15","true","6","0","5","true","6","274","55","true","6","300","0","true","6","30","95","true"
"7","27","15","true","7","0","5","true","7","273","55","true","7","300","0","true","7","35","95","true"
"8","32","15","true","8","0","5","true","8","268","55","true","8","300","0","true","8","40","95","true"
"9","40","15","true","9","0","5","true","9","259","55","true","9","299","0","true","9","44","95","true"
"10","52","15","true","10","0","5","true","10","248","55","true","10","300","0","true","10","49","95","true"
"11","54","15","true","11","0","5","true","11","246","55","true","11","300","0","true","11","53","95","true"
"12","60","15","true","12","0","5","true","12","240","55","true","12","300","0","true","12","57","95","true"
"13","63","15","true","13","0","5","true","13","237","55","true","13","300","0","true","13","62","95","true"
"14","71","15","true","14","0","5","true","14","229","55","true","14","300","0","true","14","66","95","true"
"15","66","15","true","15","7","5","true","15","227","55","true","15","300","0","true","15","70","95","true"
"16","71","15","true","16","9","5","true","16","220","55","true","16","300","0","true","16","74","95","true"
"17","77","15","true","17","11","5","true","17","212","55","true","17","300","0","true","17","78","95","true"
"18","80","15","true","18","13","5","true","18","206","55","true","18","299","0","true","18","81","95","true"
"19","86","15","true","19","16","5","true","19","198","55","true","19","300","0","true","19","86","95","true"
"20","91","15","true","20","17","5","true","20","192","55","true","20","300","0","true","20","88","95","true"
"21","96","15","true","21","17","5","true","21","187","55","true","21","300","0","true","21","93","95","true"
"22","100","15","true","22","18","5","true","22","182","55","true","22","300","0","true","22","98","95","true"
"23","96","15","true","23","26","5","true","23","177","55","true","23","299","0","true","23","100","95","true"
"24","90","15","true","24","31","5","true","24","175","55","true","24","296","0","true","24","103","95","true"
"25","92","15","true","25","34","5","true","25","174","55","true","25","300","0","true","25","107","95","true"
"26","97","15","true","26","37","5","true","26","166","55","true","26","300","0","true","26","111","95","true"
"27","96","15","true","27","40","5","true","27","164","55","true","27","300","0","true","27","112","95","true"
"28","101","15","true","28","42","5","true","28","157","55","true","28","300","0","true","28","116","95","true"
"29","98","15","true","29","46","5","true","29","156","55","true","29","300","0","true","29","120","95","true"
"30","96","15","true","30","46","5","true","30","156","55","true","30","298","0","true","30","126","95","true"
"31","92","15","true","31","52","5","true","31","154","55","true","31","298","0","true","31","130","95","true"
"32","89","15","true","32","56","5","true","32","152","55","true","32","297","0","true","32","133","95","true"
"33","86","15","true","33","58","5","true","33","155","55","true","33","299","0","true","33","137","95","true"
"34","80","15","true","34","64","5","true","34","155","55","true","34","299","0","true","34","139","95","true"
"35","78","15","true","35","66","5","true","35","155","55","true","35","299","0","true","35","143","95","true"
"36","75","15","true","36","70","5","true","36","154","55","true","36","299","0","true","36","147","95","true"
"37","73","15","true","37","72","5","true","37","153","55","true","37","298","0","true","37","151","95","true"
"38","70","15","true","38","74","5","true","38","154","55","true","38","298","0","true","38","153","95","true"
