"x","Sick","color","pen down?","x","Immune","color","pen down?","x","Healthy","color","pen down?","x","Total","color","pen down?","x","Vaccinated","color","pen down?"
"0","10","15","true","0","0","5","true","0","290","55","true","0","300","0","true","0","0","95","true"
"1","11","15","true","1","0","5","true","1","289","55","true","1","300","0","true","1","7","95","true"
"2","14","15","true","2","0","5","true","2","286","55","true","2","300","0","true","2","14","95","true"
"3","15","15","true","3","0","5","true","3","285","55","true","3","300","0","true","3","21","95","true"
"4","19","15","true","4","0","5","true","4","281","55","true","4","300","0","true","4","28","95","true"
"5","22","15","true","5","0","5","true","5","278","55","true","5","300","0","true","5","31","95","true"
"6","23","15","true","6","0","5","true","6","277","55","true","6","300","0","true","6","38","95","true"
"7","28","15","true","7","0","5","true","7","272","55","true","7","300","0","true","7","44","95","true"
"8","33","15","true","8","0","5","true","8","266","55","true","8","299","0","true","8","50","95","true"
"9","39","15","true","9","0","5","true","9","261","55","true","9","300","0","true","9","55","95","true"
"10","42","15","true","10","0","5","true","10","258","55","true","10","300","0","true","10","62","95","true"
"11","45","15","true","11","0","5","true","11","255","55","true","11","300","0","true","11","67","95","true"
"12","49","15","true","12","0","5","true","12","251","55","true","12","300","0","true","12","73","95","true"
"13","52","15","true","13","0","5","true","13","248","55","true","13","300","0","true","13","77","95","true"
"14","59","15","true","14","0","5","true","14","241","55","true","14","300","0","true","14","83","95","true"
"15","56","15","true","15","4","5","true","15","235","55","true","15","295","0","true","15","89","95","true"
"16","60","15","true","16","5","5","true","16","235","55","true","16","300","0","true","16","95","95","true"
"17","61","15","true","17","6","5","true","17","233","55","true","17","300","0","true","17","98","95","true"
"18","63","15","true","18","7","5","true","18","230","55","true","18","300","0","true","18","102","95","true"
"19","61","15","true","19","9","5","true","19","229","55","true","19","299","0","true","19","109","95","true"
"20","63","15","true","20","10","5","true","20","226","55","true","20","299","0","true","20","113","95","true"
"21","65","15","true","21","11","5","true","21","224","55","true","21","300","0","true","21","119","95","true"
"22","60","15","true","22","16","5","true","22","224","55","true","22","300","0","true","22","123","95","true"
"23","58","15","true","23","18","5","true","23","224","55","true","23","300","0","true","23","128","95","true"
"24","56","15","true","24","22","5","true","24","222","55","true","24","300","0","true","24","130","95","true"
"25","58","15","true","25","22","5","true","25","220","55","true","25","300","0","true","25","136","95","true"
"26","58","15","true","26","25","5","true","26","217","55","true","26","300","0","true","26","141","95","true"
"27","59","15","true","27","27","5","true","27","214","55","true","27","300","0","true","27","144","95","true"
"28","54","15","true","28","30","5","true","28","214","55","true","28","298","0","true","28","149","95","true"
"29","55","15","true","29","31","5","true","29","212","55","true","29","298","0","true","29","150","95","true"
"30","52","15","true","30","34","5","true","30","212","55","true","30","298","0","true","30","154","95","true"
"31","50","15","true","31","36","5","true","31","213","55","true","31","299","0","true","31","160","95","true"
"32","50","15","true","32","38","5","true","32","210","55","true","32","298","0","true","32","161","95","true"
"33","53","15","true","33","39","5","true","33","208","55","true","33","300","0","true","33","169","95","true"
"34","51","15","true","34","40","5","true","34","209","55","true","34","300","0","true","34","172","95","true"
"35","51","15","true","35","42","5","true","35","207","55","true","35","300","0","true","35","174","95","true"
